president,party,start_date,end_date
Franklin D. Roosevelt,Democratic,1933-03-04,1945-04-12
Harry S. Truman,Democratic,1945-04-12,1953-01-20
Dwight D. Eisenhower,Republican,1953-01-20,1961-01-20
John F. Kennedy,Democratic,1961-01-20,1963-11-22
Lyndon B. Johnson,Democratic,1963-11-22,1969-01-20
Richard Nixon,Republican,1969-01-20,1974-08-09
Gerald Ford,Republican,1974-08-09,1977-01-20
Jimmy Carter,Democratic,1977-01-20,1981-01-20
Ronald Reagan,Republican,1981-01-20,1989-01-20
George H. W. Bush,Republican,1989-01-20,1993-01-20
Bill Clinton,Democratic,1993-01-20,2001-01-20
George W. Bush,Republican,2001-01-20,2009-01-20
Barack Obama,Democratic,2009-01-20,2017-01-20
Donald Trump,Republican,2017-01-20,2021-01-20
Joe Biden,Democratic,2021-01-20,2025-01-20
Donald Trump,Republican,2025-01-20,
